label;x;y
Low Income;2015;1.2
Low Income;2020;1.4
Low Income;2025;1.7
Low Income;2030;2
Low Income;2035;2.4
Low Income;2040;2.9
Low Income;2045;3.6
Low Income;2050;4.4
Lower Middle Income;2015;9.8
Lower Middle Income;2020;11.4
Lower Middle Income;2025;13.7
Lower Middle Income;2030;16.4
Lower Middle Income;2035;19.5
Lower Middle Income;2040;23.1
Lower Middle Income;2045;27.2
Lower Middle Income;2050;31.5
Upper Middle Income;2015;16.3
Upper Middle Income;2020;19.4
Upper Middle Income;2025;23.3
Upper Middle Income;2030;28.4
Upper Middle Income;2035;34.3
Upper Middle Income;2040;40.4
Upper Middle Income;2045;46.9
Upper Middle Income;2050;53.4
High Income;2015;19.5
High Income;2020;22
High Income;2025;24.7
High Income;2030;28
High Income;2035;31.7
High Income;2040;35.7
High Income;2045;39.1
High Income;2050;42.2
