"DBC-gefinancierde GGZ; zorgtrajecten per diagnose, leeftijd, regio";;;;;
Geslacht: Vrouwen;;;;;
Leeftijd: Totaal;;;;;
;;;;;
;Onderwerp;Primaire diagnoses;Primaire diagnoses;Primaire diagnoses;Primaire diagnoses
;Diagnosen GGZ;2.2 Dementie;2.2 Dementie;2.2 Dementie;2.2 Dementie
Perioden;Regio's;aantal;per 100.000 inwoners;aantal;per 100.000 inwoners
2009;Nederland;21460;257;14405;173
2009;Groningen (PV);1110;383;710;245
2009;Friesland (PV);865;268;655;203
2009;Drenthe (PV);650;262;460;185
2009;Overijssel (PV);1125;199;675;120
2009;Flevoland (PV);175;90;135;71
2009;Gelderland (PV);1600;158;1080;107
2009;Utrecht (PV);1075;173;770;124
2009;Noord-Holland (PV);5225;387;3160;234
2009;Zuid-Holland (PV);4070;230;2945;166
2009;Zeeland (PV);450;235;315;163
2009;Noord-Brabant (PV);2945;241;1965;161
2009;Limburg (PV);2175;384;1540;272
2010;Nederland;20855;248;15375;183
2010;Groningen (PV);1220;420;820;282
2010;Friesland (PV);675;208;560;172
2010;Drenthe (PV);655;264;475;192
2010;Overijssel (PV);1135;200;820;145
2010;Flevoland (PV);145;75;115;60
2010;Gelderland (PV);1475;145;1060;105
2010;Utrecht (PV);965;154;750;120
2010;Noord-Holland (PV);5100;375;3700;272
2010;Zuid-Holland (PV);4040;227;3035;170
2010;Zeeland (PV);495;258;370;193
2010;Noord-Brabant (PV);2845;232;2110;172
2010;Limburg (PV);2110;373;1560;275
2011;Nederland;18845;224;13705;163
2011;Groningen (PV);1200;411;845;290
2011;Friesland (PV);510;158;415;128
2011;Drenthe (PV);655;265;465;188
2011;Overijssel (PV);1010;178;700;123
2011;Flevoland (PV);150;75;115;59
2011;Gelderland (PV);1160;114;935;92
2011;Utrecht (PV);880;139;680;108
2011;Noord-Holland (PV);5060;369;3555;259
2011;Zuid-Holland (PV);3195;178;2330;130
2011;Zeeland (PV);410;213;325;170
2011;Noord-Brabant (PV);2680;217;1930;157
2011;Limburg (PV);1940;343;1410;249
2012;Nederland;15670;185;11465;136
2012;Groningen (PV);1255;429;820;281
2012;Friesland (PV);380;117;290;90
2012;Drenthe (PV);560;226;410;166
2012;Overijssel (PV);875;154;635;112
2012;Flevoland (PV);130;65;95;48
2012;Gelderland (PV);760;74;555;55
2012;Utrecht (PV);805;127;575;91
2012;Noord-Holland (PV);3980;289;2970;215
2012;Zuid-Holland (PV);2890;160;2185;121
2012;Zeeland (PV);255;133;195;101
2012;Noord-Brabant (PV);2185;177;1560;126
2012;Limburg (PV);1600;283;1170;207
2013;Nederland;15580;184;10695;126
2013;Groningen (PV);1285;439;895;306
2013;Friesland (PV);280;87;225;70
2013;Drenthe (PV);550;224;385;155
2013;Overijssel (PV);875;153;610;107
2013;Flevoland (PV);125;63;100;49
2013;Gelderland (PV);915;90;530;52
2013;Utrecht (PV);740;116;560;88
2013;Noord-Holland (PV);4310;311;2720;196
2013;Zuid-Holland (PV);2710;150;1975;109
2013;Zeeland (PV);210;109;140;72
2013;Noord-Brabant (PV);2085;168;1510;122
2013;Limburg (PV);1490;264;1050;186
2014;Nederland;12475;147;9310;109
2014;Groningen (PV);1340;457;905;309
2014;Friesland (PV);235;73;215;67
2014;Drenthe (PV);645;262;435;176
2014;Overijssel (PV);560;98;435;76
2014;Flevoland (PV);70;35;35;18
2014;Gelderland (PV);795;77;575;56
2014;Utrecht (PV);505;79;390;61
2014;Noord-Holland (PV);3020;216;2270;162
2014;Zuid-Holland (PV);2150;118;1685;93
2014;Zeeland (PV);205;106;145;75
2014;Noord-Brabant (PV);1690;136;1315;106
2014;Limburg (PV);1260;224;905;161
2015*;Nederland;9945;116;7415;87
2015*;Groningen (PV);1280;437;960;328
2015*;Friesland (PV);75;24;70;21
2015*;Drenthe (PV);570;231;435;176
2015*;Overijssel (PV);370;65;280;49
2015*;Flevoland (PV);80;39;55;28
2015*;Gelderland (PV);560;54;400;39
2015*;Utrecht (PV);420;65;290;45
2015*;Noord-Holland (PV);2190;156;1710;122
2015*;Zuid-Holland (PV);1865;102;1345;74
2015*;Zeeland (PV);90;46;85;45
2015*;Noord-Brabant (PV);1355;109;1010;81
2015*;Limburg (PV);1095;195;775;138
2016*;Nederland;8170;95;6235;73
2016*;Groningen (PV);805;275;790;271
2016*;Friesland (PV);110;34;100;31
2016*;Drenthe (PV);415;167;320;129
2016*;Overijssel (PV);335;59;220;39
2016*;Flevoland (PV);55;27;35;18
2016*;Gelderland (PV);575;56;420;41
2016*;Utrecht (PV);420;64;280;43
2016*;Noord-Holland (PV);1615;114;1140;81
2016*;Zuid-Holland (PV);1845;100;1395;76
2016*;Zeeland (PV);10;5;10;5
2016*;Noord-Brabant (PV);1150;92;870;70
2016*;Limburg (PV);840;149;645;114
Bron: CBS;;;;;
