Provincie;2018;2020;2025;2030;2035;2040;2050
Groningen;9300;9700;11000;13000;15000;17000;19000
Friesland;11000;12000;14000;16000;19000;21000;24000
Drenthe;9200;9700;11000;13000;15000;17000;20000
Overijssel;18000;19000;22000;26000;29000;33000;39000
Flevoland;3900;4100;5200;6800;8700;11000;14000
Gelderland;33000;35000;41000;49000;57000;65000;77000
Utrecht;18000;19000;22000;26000;32000;36000;46000
Noord-Holland;41000;43000;50000;61000;72000;82000;100000
Zuid-Holland;56000;58000;67000;79000;94000;110000;130000
Zeeland;7700;8100;9200;11000;12000;13000;15000
Noord-Brabant;41000;43000;51000;60000;69000;78000;93000
Limburg;21000;23000;26000;30000;34000;38000;43000
