Perioden;Regios;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot gesloten 0-20;0-20;Tot lopend 20-40;Tot gesloten 20-40;20-40;Tot lopend 40-60;Tot gesloten 40-60;40-60;Tot lopend 60-80;Tot gesloten 60-80;60-80;Tot lopend 80-ouder;Tot gesloten 80-ouder;80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
2009;Nederland;34860;211;23450;142;13405;164;9045;111;21460;257;14405;173;10;5;15;110;95;205;885;605;1490;12980;8430;21410;20870;14315;35185;2454973;614366;1069079;206931;1385894;407435
2009;Groningen;1745;303;1120;194;635;223;405;142;1110;383;710;245;0;0;0;5;5;10;30;25;55;565;350;915;1145;740;1885;87673;23323;37925;7739;49748;15584
2009;Friesland;1445;224;1090;169;580;180;435;135;865;268;655;203;0;0;0;0;0;0;40;25;65;555;415;970;850;650;1500;102762;25891;45514;8862;57248;17029
2009;Drenthe;1105;225;780;159;455;187;325;133;650;262;460;185;0;0;0;5;5;10;30;20;50;425;295;720;645;465;1110;84539;21294;37314;7517;47225;13777
2009;Overijssel;1820;161;1110;98;695;124;430;77;1125;199;675;120;0;0;0;0;0;0;60;35;95;865;515;1380;895;560;1455;167885;41030;73005;13725;94880;27305
2009;Flevoland;345;90;270;71;175;90;135;71;175;90;135;71;0;0;0;0;0;0;20;15;35;155;115;270;175;135;310;35631;8371;16108;3114;19523;5257
2009;Gelderland;2695;135;1865;93;1095;111;785;80;1600;158;1080;107;0;0;0;10;10;20;75;45;120;1100;745;1845;1510;1065;2575;302647;74407;131159;25004;171488;49403
2009;Utrecht;1835;151;1340;110;765;129;575;96;1075;173;770;124;5;0;5;50;45;95;115;90;205;720;520;1240;945;680;1625;158692;40937;67667;13553;91025;27384
2009;Noord-Holland ;8495;320;5155;194;3275;250;1995;153;5225;387;3160;234;0;0;0;10;10;20;150;95;245;2900;1670;4570;5435;3380;8815;376212;98138;163028;33126;213184;65012
2009;Zuid-Holland ;6315;181;4570;131;2245;130;1630;95;4070;230;2945;166;0;0;0;10;10;20;150;100;250;2090;1430;3520;4060;3030;7090;504029;134006;216626;44522;287403;89484
2009;Zeeland;795;208;545;142;345;181;230;122;450;235;315;163;0;0;0;5;5;10;20;15;35;305;205;510;465;325;790;68184;18552;30444;6669;37740;11883
2009;Noord-Brabant;4845;199;3185;131;1900;156;1225;100;2945;241;1965;161;0;0;0;5;5;10;130;90;220;1970;1250;3220;2740;1840;4580;369848;83012;164036;28068;205812;54944
2009;Limburg;3415;304;2415;215;1245;223;880;158;2175;384;1540;272;0;0;0;5;5;10;70;40;110;1330;925;2255;2010;1445;3455;196871;45405;86253;15032;110618;30373
2010;Nederland;34080;205;25070;151;13230;161;9700;118;20855;248;15375;183;15;15;30;100;70;170;855;625;1480;12315;8760;21075;20795;15605;36400;2520362;630028;1105479;215086;1414883;414942
2010;Groningen;1920;333;1290;224;700;244;470;164;1220;420;820;282;0;0;0;0;0;0;30;15;45;635;420;1055;1255;855;2110;89625;23571;39144;7897;50481;15674
2010;Friesland;1130;175;930;144;460;142;375;116;675;208;560;172;0;0;0;0;0;0;40;30;70;430;345;775;660;555;1215;105958;26604;47249;9168;58709;17436
2010;Drenthe;1115;227;810;165;460;189;330;137;655;264;475;192;0;0;0;0;0;0;25;20;45;430;295;725;655;495;1150;86817;21848;38547;7789;48270;14059
2010;Overijssel;1890;167;1345;119;755;133;525;93;1135;200;820;145;0;0;0;5;0;5;50;40;90;815;565;1380;1020;740;1760;172166;42300;75452;14372;96714;27928
2010;Flevoland;290;74;215;55;140;72;100;50;145;75;115;60;0;0;0;0;0;0;15;10;25;110;85;195;160;115;275;37091;8615;16855;3210;20236;5405
2010;Gelderland;2460;123;1790;89;985;100;730;74;1475;145;1060;105;0;0;0;10;5;15;80;65;145;925;660;1585;1445;1060;2505;310939;76635;135596;26049;175343;50586
2010;Utrecht;1660;135;1290;105;695;116;540;90;965;154;750;120;15;10;25;45;35;80;115;100;215;650;490;1140;835;660;1495;163137;41909;70118;14075;93019;27834
2010;Noord-Holland ;8430;315;6080;227;3335;253;2380;180;5100;375;3700;272;0;0;0;10;10;20;125;90;215;2860;1980;4840;5435;4000;9435;386362;99917;168707;34271;217655;65646
2010;Zuid-Holland ;6280;179;4710;134;2240;129;1675;97;4040;227;3035;170;0;0;0;5;5;10;165;115;280;1960;1395;3355;4150;3195;7345;515399;136335;223184;45957;292215;90378
2010;Zeeland;835;219;620;163;340;180;250;133;495;258;370;193;0;0;0;5;0;5;30;25;55;320;235;555;475;355;830;70102;18969;31429;6860;38673;12109
2010;Noord-Brabant;4695;192;3500;143;1855;152;1390;114;2845;232;2110;172;0;0;0;10;0;10;95;70;165;1870;1350;3220;2720;2080;4800;381075;86351;170123;29653;210952;56698
2010;Limburg;3375;301;2490;222;1265;227;930;167;2110;373;1560;275;0;0;0;5;0;5;75;45;120;1305;940;2245;1985;1500;3485;201691;46974;89075;15785;112616;31189
2011;Nederland;31405;188;22870;137;12560;152;9160;111;18845;224;13705;163;20;15;35;115;95;210;845;630;1475;11385;8020;19405;19035;14110;33145;2576474;649075;1137484;225109;1438990;423966
2011;Groningen;1940;335;1365;235;745;258;520;180;1200;411;845;290;0;0;0;0;0;0;40;25;65;655;425;1080;1250;910;2160;91563;23987;40288;8187;51275;15800
2011;Friesland;870;134;705;109;360;111;290;90;510;158;415;128;0;0;0;0;0;0;35;25;60;365;285;650;470;390;860;108789;27248;48821;9542;59968;17706
2011;Drenthe;1150;234;815;166;490;202;350;144;655;265;465;188;0;0;0;0;0;0;20;15;35;445;295;740;680;500;1180;88657;22367;39451;7993;49206;14374
2011;Overijssel;1745;154;1230;108;735;129;530;94;1010;178;700;123;0;0;0;5;5;10;40;25;65;750;535;1285;950;665;1615;175943;43802;77625;15038;98318;28764
2011;Flevoland;280;71;225;57;130;66;110;55;150;75;115;59;0;0;0;0;0;0;15;10;25;105;80;185;155;130;285;38288;8869;17538;3353;20750;5516
2011;Gelderland;1965;98;1545;77;810;82;610;62;1160;114;935;92;0;0;0;10;10;20;70;45;115;720;550;1270;1165;945;2110;318269;78993;139750;27267;178519;51726
2011;Utrecht;1525;124;1185;96;645;107;505;84;880;139;680;108;5;5;10;45;40;85;115;100;215;570;435;1005;785;600;1385;166421;43131;71985;14714;94436;28417
2011;Noord-Holland ;8580;318;6070;225;3520;265;2515;189;5060;369;3555;259;0;0;0;10;10;20;145;95;240;2900;1965;4865;5525;4000;9525;393912;102109;173096;35567;220816;66542
2011;Zuid-Holland ;5005;141;3665;104;1810;104;1340;77;3195;178;2330;130;5;0;5;10;5;15;165;110;275;1645;1180;2825;3180;2370;5550;522334;139931;227659;47974;294675;91957
2011;Zeeland;740;194;570;149;330;174;240;128;410;213;325;170;0;0;0;5;5;10;20;15;35;270;205;475;445;345;790;71804;19382;32394;7065;39410;12317
2011;Noord-Brabant;4485;182;3235;132;1810;147;1305;106;2680;217;1930;157;0;0;0;15;15;30;100;75;175;1820;1275;3095;2550;1875;4425;393195;90199;176598;31522;216597;58677
2011;Limburg;3120;278;2260;201;1175;211;845;152;1940;343;1410;249;5;0;5;15;5;20;90;80;170;1135;795;1930;1875;1380;3255;207299;49057;92279;16887;115020;32170
