Perioden;Regios;Tot lopend 0-20;Tot gesloten 0-20;0-20;Tot lopend 20-40;Tot gesloten 20-40;20-40;Tot lopend 40-60;Tot gesloten 40-60;40-60;Tot lopend 60-80;Tot gesloten 60-80;60-80;Tot lopend 80-ouder;Tot gesloten 80-ouder;80-ouder
2009;Nederland;10;5;15;110;95;205;885;605;1490;12980;8430;21410;20870;14315;35185
2009;Groningen;0;0;0;5;5;10;30;25;55;565;350;915;1145;740;1885
2009;Friesland;0;0;0;0;0;0;40;25;65;555;415;970;850;650;1500
2009;Drenthe;0;0;0;5;5;10;30;20;50;425;295;720;645;465;1110
2009;Overijssel;0;0;0;0;0;0;60;35;95;865;515;1380;895;560;1455
2009;Flevoland;0;0;0;0;0;0;20;15;35;155;115;270;175;135;310
2009;Gelderland;0;0;0;10;10;20;75;45;120;1100;745;1845;1510;1065;2575
2009;Utrecht;5;0;5;50;45;95;115;90;205;720;520;1240;945;680;1625
2009;Noord-Holland;0;0;0;10;10;20;150;95;245;2900;1670;4570;5435;3380;8815
2009;Zuid-Holland;0;0;0;10;10;20;150;100;250;2090;1430;3520;4060;3030;7090
2009;Zeeland;0;0;0;5;5;10;20;15;35;305;205;510;465;325;790
2009;Noord-Brabant;0;0;0;5;5;10;130;90;220;1970;1250;3220;2740;1840;4580
2009;Limburg;0;0;0;5;5;10;70;40;110;1330;925;2255;2010;1445;3455
2010;Nederland;15;15;30;100;70;170;855;625;1480;12315;8760;21075;20795;15605;36400
2010;Groningen;0;0;0;0;0;0;30;15;45;635;420;1055;1255;855;2110
2010;Friesland;0;0;0;0;0;0;40;30;70;430;345;775;660;555;1215
2010;Drenthe;0;0;0;0;0;0;25;20;45;430;295;725;655;495;1150
2010;Overijssel;0;0;0;5;0;5;50;40;90;815;565;1380;1020;740;1760
2010;Flevoland;0;0;0;0;0;0;15;10;25;110;85;195;160;115;275
2010;Gelderland;0;0;0;10;5;15;80;65;145;925;660;1585;1445;1060;2505
2010;Utrecht;15;10;25;45;35;80;115;100;215;650;490;1140;835;660;1495
2010;Noord-Holland;0;0;0;10;10;20;125;90;215;2860;1980;4840;5435;4000;9435
2010;Zuid-Holland;0;0;0;5;5;10;165;115;280;1960;1395;3355;4150;3195;7345
2010;Zeeland;0;0;0;5;0;5;30;25;55;320;235;555;475;355;830
2010;Noord-Brabant;0;0;0;10;0;10;95;70;165;1870;1350;3220;2720;2080;4800
2010;Limburg;0;0;0;5;0;5;75;45;120;1305;940;2245;1985;1500;3485
2011;Nederland;20;15;35;115;95;210;845;630;1475;11385;8020;19405;19035;14110;33145
2011;Groningen;0;0;0;0;0;0;40;25;65;655;425;1080;1250;910;2160
2011;Friesland;0;0;0;0;0;0;35;25;60;365;285;650;470;390;860
2011;Drenthe;0;0;0;0;0;0;20;15;35;445;295;740;680;500;1180
2011;Overijssel;0;0;0;5;5;10;40;25;65;750;535;1285;950;665;1615
2011;Flevoland;0;0;0;0;0;0;15;10;25;105;80;185;155;130;285
