Regios;Perioden;Totaal aantal lopend;Tot per 100.000 inwoners lopend;Totaal aantal gesloten;Tot per 100.000 inwoners gesloten;Totaal aantal mannen lopend;Tot per 100.000 inwoners mannen lopend;Totaal aantal mannen gesloten;Tot per 100.000 inwoners mannen gesloten;Totaal aantal vrouwen lopend;Tot per 100.000 inwoners vrouwen lopend;Totaal aantal vrouwen gesloten;Tot per 100.000 inwoners vrouwen gesloten;Tot lopend 0-20;Tot per 100.000 inwoners lopend 0-20;Tot gesloten 0-20;Tot per 100.000 inwoners gesloten 0-20;Tot lopend 20-40;Tot per 100.000 inwoners lopend 20-40;Tot gesloten 20-40;Tot per 100.000 inwoners gesloten 20-40;Tot lopend 40-60;Tot per 100.000 inwoners lopend 40-60;Tot gesloten 40-60;Tot per 100.000 inwoners gesloten 40-60;Tot lopend 60-80;Tot per 100.000 inwoners lopend 60-80;Tot gesloten 60-80;Tot per 100.000 inwoners gesloten 60-80;Tot lopend 80-ouder;Tot per 100.000 inwoners lopend 80-ouder;Tot gesloten 80-ouder;Tot per 100.000 inwoners gesloten 80-ouder;Tot lopend mannen 0-20;Tot per 100.000 inwoners lopend mannen 0-20;Tot gesloten mannen 0-20;Tot per 100.000 inwoners gesloten mannen 0-20;Tot lopend mannen 20-40;Tot per 100.000 inwoners lopend mannen 20-40;Tot gesloten mannen 20-40;Tot per 100.000 inwoners gesloten mannen 20-40;Tot lopend mannen 40-60;Tot per 100.000 inwoners lopend mannen 40-60;Tot gesloten mannen 40-60;Tot per 100.000 inwoners gesloten mannen 40-60;Tot lopend mannen 60-80;Tot per 100.000 inwoners lopend mannen 60-80;Tot gesloten mannen 60-80;Tot per 100.000 inwoners gesloten mannen 60-80;Tot lopend mannen 80-ouder;Tot per 100.000 inwoners lopend mannen 80-ouder;Tot gesloten mannen 80-ouder;Tot per 100.000 inwoners gesloten mannen 80-ouder;Tot lopend vrouwen 0-20;Tot per 100.000 inwoners lopend vrouwen 0-20;Tot gesloten vrouwen 0-20;Tot per 100.000 inwoners gesloten vrouwen 0-20;Tot lopend vrouwen 20-40;Tot per 100.000 inwoners lopend vrouwen 20-40;Tot gesloten vrouwen 20-40;Tot per 100.000 inwoners gesloten vrouwen 20-40;Tot lopend vrouwen 40-60;Tot per 100.000 inwoners lopend vrouwen 40-60;Tot gesloten vrouwen 40-60;Tot per 100.000 inwoners gesloten vrouwen 40-60;Tot lopend vrouwen 60-80;Tot per 100.000 inwoners lopend vrouwen 60-80;Tot gesloten vrouwen 60-80;Tot per 100.000 inwoners gesloten vrouwen 60-80;Tot lopend vrouwen 80-ouder;Tot per 100.000 inwoners lopend vrouwen 80-ouder;Tot gesloten vrouwen 80-ouder;Tot per 100.000 inwoners gesloten vrouwen 80-ouder;65+ totaal;80+ totaal;65+ mannen;80+ mannen;65+ vrouwen;80+ vrouwen
Drenthe;2009;1105;225;780;159;455;187;325;133;650;262;460;185;0;0;0;0;5;5;5;3;30;19;20;14;425;422;295;291;645;2730;465;1963;0;0;0;0;0;0;0;0;15;21;15;17;200;413;140;282;235;2787;170;2025;0;0;0;0;0;0;0;0;10;16;10;11;225;430;155;300;410;2698;295;1935;84539;21294;37314;7517;47225;13777
Drenthe;2010;1115;227;810;165;460;189;330;137;655;264;475;192;0;0;0;0;0;0;0;0;25;18;20;13;430;418;295;285;655;2705;495;2039;0;0;0;0;0;0;0;0;15;17;5;8;205;409;145;291;240;2769;180;2074;0;0;0;0;0;0;0;0;15;19;15;19;225;426;150;279;415;2669;315;2013;86817;21848;38547;7789;48270;14059
Drenthe;2011;1150;234;815;166;490;202;350;144;655;265;465;188;0;0;0;0;0;0;0;0;20;12;15;11;445;425;295;282;680;2753;500;2014;0;0;0;0;0;0;0;0;10;16;10;15;215;423;135;267;260;2939;200;2240;0;0;0;0;0;0;0;0;5;8;5;7;230;426;160;297;420;2649;300;1888;88657;22367;39451;7993;49206;14374
Drenthe;2012;960;196;710;145;405;166;300;124;560;226;410;166;0;0;0;0;0;0;0;0;15;11;10;7;370;343;255;239;575;2264;445;1751;0;0;0;0;0;0;0;0;10;12;5;7;180;346;130;247;210;2287;165;1797;0;0;0;0;0;0;0;0;10;12;5;7;185;340;125;231;365;2250;280;1725;92492;22875;41581;8253;50911;14622
Drenthe;2013;925;189;645;132;375;154;260;108;550;224;385;155;0;0;0;0;5;3;0;0;25;18;20;13;370;338;240;217;525;2032;385;1487;0;0;0;0;5;6;0;0;10;16;10;14;175;330;115;216;180;1914;130;1388;0;0;0;0;0;0;0;0;15;19;10;11;195;346;120;217;345;2100;255;1545;95979;23365;43497;8520;52482;14845
Drenthe;2014;1100;225;735;150;455;188;300;125;645;262;435;176;0;0;0;0;5;3;5;3;25;16;15;11;455;404;280;251;620;2332;435;1631;0;0;0;0;5;6;5;6;15;18;10;11;225;408;140;259;215;2154;150;1500;0;0;0;0;0;0;0;0;10;14;10;12;230;400;140;243;410;2438;285;1709;99200;23889;45199;8830;54001;15059
Drenthe;2015;980;201;755;154;415;170;320;132;570;231;435;176;0;0;0;0;5;4;0;0;15;12;15;9;410;359;300;264;550;2005;435;1589;0;0;0;0;5;8;0;0;10;12;5;10;200;355;150;271;200;1928;155;1506;0;0;0;0;0;0;0;0;5;10;5;8;210;362;150;256;350;2058;280;1640;101948;24665;46757;9275;55191;15390
Drenthe;2016;755;154;595;121;340;140;275;113;415;167;320;129;0;0;0;0;5;4;5;4;20;14;10;8;345;295;255;220;385;1377;325;1155;0;0;0;0;5;8;5;8;15;22;10;13;155;274;120;212;165;1514;145;1328;0;0;0;0;0;0;0;0;5;6;0;0;185;312;135;228;225;1291;180;1048;104411;25248;48129;9680;56282;15568
Flevoland;2009;345;90;270;71;175;90;135;71;175;90;135;71;0;0;0;0;0;0;0;0;20;16;15;15;155;314;115;240;175;1879;135;1479;0;0;0;0;0;0;0;0;10;17;10;14;85;355;70;293;80;2281;60;1674;0;0;0;0;0;0;0;0;10;16;10;16;70;275;45;190;95;1638;80;1345;35631;8371;16108;3114;19523;5257
Flevoland;2010;290;74;215;55;140;72;100;50;145;75;115;60;0;0;0;0;0;0;0;0;15;14;10;9;110;221;85;169;160;1651;115;1223;0;0;0;0;0;0;0;0;10;15;5;7;60;247;45;184;70;1974;50;1334;0;0;0;0;0;0;0;0;10;14;5;12;50;195;40;160;90;1474;70;1156;37091;8615;16855;3210;20236;5405
Flevoland;2011;280;71;225;57;130;66;110;55;150;75;115;59;0;0;0;0;0;0;0;0;15;13;10;9;105;196;80;151;155;1585;130;1341;0;0;0;0;0;0;0;0;10;15;5;12;55;212;45;171;65;1716;55;1448;0;0;0;0;0;0;0;0;5;12;5;8;50;183;35;131;90;1504;80;1276;38288;8869;17538;3353;20750;5516
Flevoland;2012;230;58;180;46;100;50;85;43;130;65;95;48;0;0;0;0;0;0;0;0;10;8;5;5;105;187;75;139;115;1130;95;953;0;0;0;0;0;0;0;0;5;8;0;0;55;195;45;155;40;1082;40;1030;0;0;0;0;0;0;0;0;5;8;5;7;50;183;35;122;75;1160;55;906;41008;9166;18955;3480;22053;5686
Flevoland;2013;225;57;175;44;100;51;75;38;125;63;100;49;0;0;0;0;5;3;5;3;10;7;5;3;110;187;75;132;105;1027;90;854;0;0;0;0;0;0;0;0;5;5;0;0;60;199;40;144;40;974;30;775;0;0;0;0;5;6;5;6;5;7;0;0;50;175;35;120;70;1059;60;904;43438;9466;20262;3628;23176;5838
Flevoland;2014;135;33;75;18;65;31;35;18;70;35;35;18;0;0;0;0;0;0;0;0;10;8;5;3;85;136;45;76;40;366;20;207;0;0;0;0;0;0;0;0;5;12;0;0;45;141;25;82;15;316;10;219;0;0;0;0;0;0;0;0;5;5;0;0;40;132;20;69;25;383;15;199;45694;9629;21367;3701;24327;5928
Flevoland;2015;140;34;100;25;60;30;45;22;80;39;55;28;0;0;0;0;0;0;0;0;5;6;5;3;85;130;65;101;50;443;30;295;0;0;0;0;0;0;0;0;5;7;5;5;40;123;30;94;15;404;10;261;0;0;0;0;0;0;0;0;0;0;0;0;45;135;35;107;30;468;20;317;47798;9846;22465;3824;25333;6022
